Make,Model,Cylinders,Transmission,Fuel_type ,City_Fuel ,Hwy_Fuel ,Comb_Fuel ,Emission_co2 ,Rating_Co2 ,Smog_Rating 
Acura,ILX,4,AM8,Z,9.9,7,8.6,199,6,3
Acura,MDX SH-AWD,6,AS9,Z,12.3,9.2,10.9,254,4,3
Acura,MDX SH-AWD A-SPEC,6,AS9,Z,12.2,9.5,11,258,4,3
Acura,MDX Hybrid AWD,6,AM7,Z,9.1,9,9,210,5,3
Acura,RDX AWD,4,AS10,Z,11,8.6,9.9,232,5,6
Acura,RDX AWD A-SPEC,4,AS10,Z,11.3,9.1,10.3,241,5,6
Acura,RLX Hybrid,6,AM7,Z,8.4,8.2,8.4,196,6,7
Acura,TLX A-SPEC,4,AM8,Z,10.2,7.4,8.9,209,5,3
Acura,TLX SH-AWD,6,AS9,Z,11.4,7.7,9.8,228,5,3
Acura,TLX SH-AWD A-SPEC/Limited Edition,6,AS9,Z,12,8.2,10.3,240,5,3
Alfa Romeo,4C Spider,4,AM6,Z,9.7,6.9,8.4,197,6,1
Alfa Romeo,Giulia,4,A8,Z,10,7.2,8.7,205,6,3
Alfa Romeo,Giulia AWD,4,A8,Z,10.5,7.7,9.2,217,5,3
Alfa Romeo,Giulia Quadrifoglio,6,A8,Z,13.5,9.3,11.6,271,4,3
Alfa Romeo,Stelvio,4,A8,Z,10.3,8.1,9.3,218,5,3
Alfa Romeo,Stelvio AWD,4,A8,Z,10.8,8.3,9.6,226,5,3
Alfa Romeo,Stelvio AWD Quadrifoglio,6,A8,Z,13.9,10.3,12.3,288,3,3
Aston Martin,DB11 V8,8,A8,Z,13,9.8,11.5,271,4,3
Aston Martin,DB11 AMR,12,A8,Z,15.5,10.6,13.3,312,3,3
Aston Martin,DBS Superleggera,12,A8,Z,16.4,10.7,13.8,324,3,3
Aston Martin,Vantage V8,8,A8,Z,13.1,9.6,11.5,270,4,3
Aston Martin,Vantage V8,8,M7,Z,16.7,11.2,14.2,333,3,3
Audi,A3,4,AM7,X,8.8,6.5,7.8,182,7,7
Audi,A3 quattro,4,AM7,X,10.8,8,9.5,224,5,7
Audi,A3 Cabriolet quattro,4,AM7,X,10.8,8,9.5,224,5,7
Audi,A4 quattro,4,AM7,Z,10,7.3,8.8,205,6,3
Audi,A4 allroad quattro,4,AM7,Z,10,7.4,8.8,206,6,3
Audi,A5 quattro,4,AM7,Z,10,7.3,8.8,205,6,3
Audi,A5 Cabriolet quattro,4,AM7,Z,10,7.4,8.8,206,6,3
Audi,A5 Sportback quattro,4,AM7,Z,10,7.3,8.8,205,6,3
Audi,A6 quattro ,4,AM7,Z,9.8,7.4,8.7,205,6,5
Audi,A6 quattro ,6,AM7,Z,10.9,8.2,9.7,227,5,5
Audi,A6 allroad ,6,AM7,Z,11.8,9.1,10.6,247,4,5
Audi,A7 quattro,6,AM7,Z,10.9,8.2,9.7,227,5,5
Audi,A8L ,6,AS8,Z,13.5,8.9,11.5,267,4,5
Audi,A8L ,8,AS8,Z,15.4,10.4,13.2,308,3,3
Audi,Q3 quattro,4,AS8,X,12.3,8.6,10.6,248,4,7
Audi,Q5,4,AM7,Z,10.7,8.4,9.7,226,5,5
Audi,Q7,4,AS8,Z,12.4,10.1,11.3,264,4,3
